datetime.datetime.now(),getAccelX(),getAccelY(),getAccelZ(),getGyroX(),getGyroY(),getGyroZ(),get_x_rotation(),get_y_rotation(),throttle,steering,movement
2019-02-13 15:42:53.724559,268,288,16756,-252,95,39,2.2316075880694273,-0.9279523444855986,0,x,x
2019-02-13 15:42:53.993895,244,636,16388,-300,106,254,2.081433307110708,-0.8386178895727892,0,x,x
2019-02-13 15:42:54.263987,508,636,16868,-336,107,23,2.064532995254809,-0.9277146519982561,0,x,x
2019-02-13 15:42:54.534418,256,556,16752,-297,73,53,1.8706099302359545,-1.4024411711178895,0,x,x
2019-02-13 15:42:54.803623,320,576,16712,-269,88,35,1.9462816104288168,-1.734963156503371,0,x,x
2019-02-13 15:42:55.073185,200,696,16572,-331,103,16,2.0030284066168216,-1.5139382655591842,0,x,x
2019-02-13 15:42:55.342958,224,536,16640,-311,78,32,2.031182884007707,-0.7393495416037421,0,x,x
2019-02-13 15:42:55.612105,220,600,16564,-278,103,29,2.088383366251779,-1.1168310577488192,0,x,x
2019-02-13 15:42:55.882408,344,376,16544,-287,78,14,2.43546337683087,-1.7005376338916496,0,x,x
2019-02-13 15:42:56.151659,224,732,16808,-272,100,13,2.0090641400906684,-1.0408827628350503,0,x,x
2019-02-13 15:42:56.420862,276,608,16672,-277,65,253,2.2299870998482483,-0.15044936094029854,0,x,x
2019-02-13 15:42:56.690082,316,636,16700,-312,98,252,2.0329281670844495,-1.5036569920438334,0,x,x
2019-02-13 15:42:56.959192,216,632,16428,-303,82,27,2.2982626790351692,-0.027606356125986733,0,x,x
2019-02-13 15:42:57.228289,312,648,16628,-296,76,18,2.3834340319934877,-0.8646241689723921,0,x,x
2019-02-13 15:42:57.497559,136,528,16724,-279,71,3,1.870066801381921,-0.8038581333151279,0,x,x
2019-02-13 15:42:57.766791,224,700,16588,-289,82,19,2.1291831939200145,-0.5720296163602613,0,x,x
2019-02-13 15:42:58.036010,184,620,16680,-270,84,34,2.0157093896156977,-0.7203700426862879,0,x,x
2019-02-13 15:42:58.305261,508,584,16620,-268,81,31,1.9148725981173031,-0.0,0,x,x
2019-02-13 15:42:58.574401,260,572,16744,-302,96,20,2.2597775980490655,-1.7240126197840104,0,x,x
2019-02-13 15:42:58.843598,240,700,16880,-318,93,20,2.0544079606679153,-0.9319709626988507,0,x,x
2019-02-13 15:42:59.113117,216,624,16652,-321,93,31,1.9695595461666326,-0.7226144209140297,0,x,x
2019-02-13 15:42:59.386782,288,760,16636,-298,104,34,1.8737863355484465,-0.7865758756191327,0,x,x
2019-02-13 15:42:59.657352,208,580,16568,-327,77,22,2.367116496426448,-0.7944876682253526,0,x,x
2019-02-13 15:42:59.928747,228,384,16880,-4,88,32,2.113111032179588,-0.013674351708382257,0,x,x
2019-02-13 15:43:00.198688,156,684,16696,-297,88,26,2.3628956966482724,-0.542156367362435,0,x,x
2019-02-13 15:43:00.472152,324,524,16868,-343,108,27,2.348399366154443,-1.7402116513588328,0,x,x
2019-02-13 15:43:00.742073,196,540,16588,-298,81,18,2.135011732264378,-0.62738795764094,0,x,x
2019-02-13 15:43:01.011845,132,656,16640,-328,53,41,1.9023184545265093,-0.7982510227071135,0,x,x
2019-02-13 15:43:01.282019,244,736,16472,-296,88,19,2.0545244217799907,-0.7246749083080992,0,x,x
2019-02-13 15:43:01.551923,448,636,16640,-291,98,7,1.9991273701993644,-0.5582842252190271,0,x,x
2019-02-13 15:43:01.824037,480,756,16580,-299,70,38,2.1977131861196955,-0.8555700964993042,0,x,x
2019-02-13 15:43:02.096384,140,688,16736,-315,76,31,2.101492693644576,-1.1483103707042353,0,x,x
2019-02-13 15:43:02.367499,216,584,16872,-256,82,31,2.2519956392164873,-0.7392674005251878,0,x,x
2019-02-13 15:43:02.638598,476,540,16568,-264,83,24,2.177077895132432,-0.13841093219280928,0,x,x
2019-02-13 15:43:02.909106,272,580,16384,-17,77,19,1.9122756209103673,-1.1513767663632384,0,x,x
2019-02-13 15:43:03.179990,84,700,16772,-295,100,34,2.2016984189127298,-0.7267945223711392,0,x,x
2019-02-13 15:43:03.449815,472,532,16568,-320,86,21,2.020054597071478,-0.06829742021755614,0,x,x
2019-02-13 15:43:03.719527,284,536,16784,-295,89,7,1.9737100557468081,-0.9945126509723636,0,x,x
2019-02-13 15:43:03.992550,268,516,16668,-330,82,14,2.230334720534768,-0.5675537510126708,0,x,x
2019-02-13 15:43:04.262411,244,588,16700,-257,85,1,2.0217267184246097,-0.8183707409703738,0,x,x
2019-02-13 15:43:04.534422,12,280,16736,-9,88,33,2.223081787296254,-1.1156792206847783,0,x,x
2019-02-13 15:43:04.804311,228,616,16720,-285,82,14,2.201355674617025,-0.822410089975933,0,x,x
2019-02-13 15:43:05.074165,20,568,16388,-264,106,39,1.9102194006503195,-1.7130274067750775,0,x,x
2019-02-13 15:43:05.345302,208,608,16716,-288,85,11,1.8601745932846676,-1.592272049780832,0,x,x
2019-02-13 15:43:05.614961,364,536,16392,-272,90,15,1.8855126546725494,-0.6526032707156536,0,x,x
2019-02-13 15:43:05.885403,496,568,16572,-288,84,32,2.0325761463004786,-1.1204131421776038,0,x,x
2019-02-13 15:43:06.157614,184,524,16776,-340,83,34,2.2858472807466166,-0.9479915467683527,0,x,x
2019-02-13 15:43:06.427717,208,688,16668,-280,76,23,1.9686252983569494,-0.9055196638816416,0,x,x
2019-02-13 15:43:06.698370,160,616,16844,-265,78,18,2.196513177392284,-0.7844057873167121,0,x,x
2019-02-13 15:43:06.968817,248,568,16620,-287,103,27,2.1719590725685136,-0.9113151020557784,0,x,x
2019-02-13 15:43:07.238366,256,596,16660,-310,89,22,2.00404450047788,-0.8963213596337355,0,x,x
2019-02-13 15:43:07.507899,192,632,16800,-318,89,-3,1.9151268736992682,-0.8669291837313067,0,x,x
2019-02-13 15:43:07.778167,156,264,16656,-276,78,16,2.117529837533203,-1.025889628310807,0,x,x
2019-02-13 15:43:08.049905,224,464,16724,-320,99,42,1.9831878241928114,-0.9598880769849937,0,x,x
2019-02-13 15:43:08.320654,236,592,16592,-509,86,13,2.123136006574775,-1.7152114807688417,0,x,x
2019-02-13 15:43:08.590624,224,672,16596,-288,86,254,2.1636967637192965,-0.0414788246607699,0,x,x
2019-02-13 15:43:08.861305,152,544,16556,-281,91,20,1.886926777383427,-0.6616164802683299,0,x,x
2019-02-13 15:43:09.130987,28,624,16608,-280,89,28,1.9557409492233166,-0.8552003942139469,0,x,x
2019-02-13 15:43:09.401164,252,640,16624,-313,95,14,2.0662082572369482,-1.081041235577585,0,x,x
2019-02-13 15:43:09.670557,276,636,16664,-278,97,21,2.150627709545458,-0.4827330123615806,0,x,x
2019-02-13 15:43:09.939974,472,520,16672,-24,102,35,2.1243043270847806,-1.6940037828982728,0,x,x
2019-02-13 15:43:10.210039,316,544,16504,-288,82,20,2.33282973025907,-0.46098200969768277,0,x,x
2019-02-13 15:43:10.479752,264,264,16740,-317,81,44,2.0052077301828883,-0.177652961241713,0,x,x
2019-02-13 15:43:10.750762,288,632,16744,-291,87,-236,1.6470444755787443,-0.9257981944320159,0,x,x
2019-02-13 15:43:11.020439,168,556,16848,-295,99,42,2.0247022322699397,-0.5731191221377582,0,x,x
2019-02-13 15:43:11.289830,212,660,16632,-276,88,23,1.976678612782276,-0.06812796244548198,0,x,x
2019-02-13 15:43:11.560671,228,600,16604,-347,70,34,1.997833710104005,-1.667326512789194,0,x,x
2019-02-13 15:43:11.831357,320,668,16724,-268,68,45,2.189237362710939,-1.319620178715879,0,x,x
2019-02-13 15:43:12.101823,296,664,16736,-282,68,27,2.1248017991299695,-1.0900407879448224,0,x,x
2019-02-13 15:43:12.372141,340,616,16684,-315,93,17,2.2659762498459357,-1.7294881903858939,0,x,x
2019-02-13 15:43:12.642932,472,576,16412,-259,68,39,1.9497399680357475,-1.0383060202898822,0,x,x
2019-02-13 15:43:12.913081,208,684,16624,-301,77,12,2.2049584791856582,-1.065479380270189,0,x,x
2019-02-13 15:43:13.182923,236,600,16664,-264,89,17,2.0628334914995965,-1.4902048408068573,0,x,x
2019-02-13 15:43:13.453264,252,564,16688,-260,78,38,2.1016504111523155,-1.7087341559028355,0,x,x
2019-02-13 15:43:13.722749,300,628,16756,-303,97,27,2.0159862861688493,-0.7965421736935887,0,x,x
2019-02-13 15:43:13.992021,8,580,16652,-283,99,23,2.1264723449545846,-1.5274508211144535,0,x,x
2019-02-13 15:43:14.262471,236,652,16620,-340,95,41,2.2318630184833106,-1.645568636530189,0,x,x
2019-02-13 15:43:14.532900,496,600,16680,-327,89,31,2.5358262426632847,-0.27911557216392135,0,x,x
2019-02-13 15:43:14.802991,176,724,16648,-298,77,3,2.009500391677609,-0.9385018418873442,0,x,x
2019-02-13 15:43:15.073012,156,620,16476,-303,73,23,1.9298135676781907,-0.5803826967840662,0,x,x
2019-02-13 15:43:15.343128,504,732,16712,-284,78,30,2.1303689869575138,-0.0,0,x,x
2019-02-13 15:43:15.612856,284,624,16656,-365,80,40,2.2232750298268464,-1.6557371431302905,0,x,x
2019-02-13 15:43:15.882704,40,556,16716,-240,84,31,2.1836013502491842,-0.9135589287979103,0,x,x
2019-02-13 15:43:16.153012,220,640,16404,-309,86,33,2.0700045998091032,-0.7049586780645132,0,x,x
2019-02-13 15:43:16.422384,12,524,16396,-297,99,19,2.277730823158513,-1.0469148744155725,0,x,x
2019-02-13 15:43:16.691863,356,696,16604,-41,83,20,2.044135974419318,-1.573320645294619,0,x,x
2019-02-13 15:43:16.961244,216,644,16632,-296,87,29,2.196629322022805,-0.7644141416478452,0,x,x
2019-02-13 15:43:17.230948,220,616,16748,-270,80,35,2.136952625273811,-0.9468656509936948,0,x,x
2019-02-13 15:43:17.500488,44,648,16876,-287,77,29,2.0900586341867564,-1.6689373673906889,0,x,x
2019-02-13 15:43:17.770249,8,620,16544,-285,86,7,2.1460076742515812,-1.5429882661606,0,x,x
2019-02-13 15:43:18.040222,140,640,16692,-292,82,47,1.2539054496510802,-1.6157705444225023,0,x,x
2019-02-13 15:43:18.309677,196,556,16624,-238,113,9,2.3001725012818297,-1.737170769899344,0,x,x
2019-02-13 15:43:18.579171,208,612,16688,-280,90,17,1.8469275149384197,-1.4732052791412178,0,x,x
2019-02-13 15:43:18.848551,164,660,16668,-273,88,24,2.344034793534254,-0.8084311886887092,0,x,x
2019-02-13 15:43:19.118017,252,588,16840,-314,73,-235,1.7956886244151797,-1.0991506990859592,0,x,x
2019-02-13 15:43:19.387772,232,628,16604,-332,81,19,1.97248351478952,-0.4998687078719044,0,x,x
2019-02-13 15:43:19.657237,216,660,16716,-295,89,38,2.5979850592996585,-1.0372000096768013,100,x,f
2019-02-13 15:43:19.927061,488,632,16804,-302,71,26,1.958990820479317,-0.6364257015265552,100,x,f
2019-02-13 15:43:20.196535,228,668,16892,-313,83,16,1.856271898818951,-0.8070812278767748,100,x,f
2019-02-13 15:43:20.465986,448,584,16600,-323,70,54,2.2549586696014017,-0.5478077919735652,100,x,f
2019-02-13 15:43:20.735298,472,556,16404,-305,72,12,1.7902186173372157,-0.7117772561062944,100,x,f
2019-02-13 15:43:21.004623,508,552,16440,-294,81,37,1.9131351633719946,-0.8684422292176476,100,x,f
2019-02-13 15:43:21.274034,296,596,16492,-309,68,13,2.5997545236031496,-1.0721520733567158,100,x,f
2019-02-13 15:43:21.543784,212,636,16844,-313,92,31,1.944538654272596,-0.8352716027940928,100,x,f
2019-02-13 15:43:21.813203,20,576,16668,-323,95,18,2.1876842667701157,-0.6218864095008871,100,x,f
2019-02-13 15:43:22.082961,324,596,16720,-276,83,38,2.1799728052318907,-1.2078182644809925,100,x,f
2019-02-13 15:43:22.352502,52,508,16756,-305,61,37,2.0908752187048947,-0.6592717819437083,100,x,f
2019-02-13 15:43:22.622150,176,528,16476,-336,102,33,1.9746875975804001,-0.10913342096564269,100,x,f
2019-02-13 15:43:22.891622,252,616,16460,-325,99,30,2.070949297734636,-0.0949884473409844,100,x,f
2019-02-13 15:43:23.161315,272,664,16704,-511,101,30,2.1294214820195805,-0.6313688429334091,100,x,x
2019-02-13 15:43:23.432295,228,588,16528,-284,79,15,1.816154997678199,-1.7300089355766288,100,x,x
2019-02-13 15:43:23.701737,264,592,16760,-304,90,28,2.135460377909846,-0.5274188836503505,100,x,x
2019-02-13 15:43:23.971149,420,720,16628,-263,86,16,2.256965799383907,-1.6432599038365514,100,x,x
2019-02-13 15:43:24.240527,320,640,16628,-322,103,50,1.8239321263401085,-1.0586598078905365,100,x,x
2019-02-13 15:43:24.510026,492,616,16628,-210,207,-1,1.782192237196865,-1.324364643583915,100,x,x
2019-02-13 15:43:24.779388,116,728,16780,-271,79,95,2.1930454901382337,-0.262948778806776,100,x,x
2019-02-13 15:43:25.048785,208,612,16804,-321,85,13,2.0620247780451857,-0.7525940224993846,100,x,x
2019-02-13 15:43:25.318206,804,776,16392,-286,93,108,2.156293522551031,-2.3252561551410715,100,x,x
2019-02-13 15:43:25.587689,160,628,16244,-505,90,-87,2.0544452987786355,-0.1513612856607296,100,x,x
2019-02-13 15:43:25.857120,500,604,16384,-293,77,42,1.9274989477217075,-1.2197255360972374,100,x,x
2019-02-13 15:43:26.126479,220,268,16636,-260,91,34,1.9771290989483947,-0.7325230251581669,100,x,x
2019-02-13 15:43:26.395798,176,628,16564,-318,97,40,1.2992100686192989,-0.7733065727015782,100,x,x
2019-02-13 15:43:26.665298,248,616,16712,-285,89,24,2.338060517611659,-1.7561701104017367,100,x,x
2019-02-13 15:43:26.934686,192,588,16644,-43,82,36,2.0636607615190807,-0.7422749796843575,100,x,x
2019-02-13 15:43:27.204167,12,656,16748,-331,89,18,1.8453882031635445,-0.7871067869824925,100,x,x
2019-02-13 15:43:27.474756,280,648,16624,-268,92,32,1.944832399173271,-0.8307046238022161,100,x,x
2019-02-13 15:43:27.744217,140,656,16540,-299,89,27,2.274061730267336,-0.7405772002912525,100,x,x
2019-02-13 15:43:28.013515,308,416,16148,-369,-107,31,2.1731493691316253,0.9871123079945889,100,x,x
2019-02-13 15:43:28.282916,8,544,16732,-333,-208,98,2.2432511479751716,-0.588372352209346,100,x,x
2019-02-13 15:43:28.552289,548,576,16688,-277,109,-81,1.6558749595580233,-2.105949388262694,100,x,x
